Grade,Finances,Time_Available,Opportunity/Institution,Cost of program,Average Salary Outcome,Opportunity_Type,City ,Size,Pub or Private,Industry ,link
HS,Low,2 year,Houston Community College ,5000,,CC,"Houston,TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/houston-community-college-system/tuition-and-costs
HS,Low,2 year,Collin County Community College District,5000,,CC,"McKinney, TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/collin-county-community-college-district
HS,Low,2 year,Tarrant County College,6000,,CC,"Fort Worth, TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/tarrant-county-college
HS,Low,2 year,Tarleton State University,15000,,4Y,"Stephenville, TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/tarleton-state-university
HS,Low,2 year,Texas Christian University,38000,,4Y,"Fort Worth, TX",Large,Private,,https://bigfuture.collegeboard.org/colleges/texas-christian-university
HS,Low,4 Years,Texas Women's University ,10000,,4Y,"Denton, TX",Medium ,Public ,,
HS,Low,4 Years,Texas Wesleyan University,22000,,4Y,"Fort Worth, TX",Small,Private,,
HS,Low,4 Years,The University of North Texas at Dallas,8000,,4Y,"Dallas, TX",Small,Public ,,
HS,Low,4 Years,The University of Texas at Arlington,16000,,4Y,"Arlington, TX",Large,Public ,,
HS,Low,0-1 Year,Tarrant County College Horticulture Certificate,3000,28000,Certificate,"Fort Worth, TX",Large,Public,Science,
HS,Low,0-1 Year,"Tarrant County College Architectural 
Technology Certificate",3500,47000,Certificate,"Fort Worth, TX",Large,Public,Science,
HS,Low,0-1 Year,Tarrant County College Computer Aided Drafting Certificate,7000,39000,Certificate,"Fort Worth, TX",Large,Public,Engineering,
HS,Low,0-1 Year,Tarrant County College Contstruction Managment Technology,4000,40000,Certificate,"Fort Worth, TX",Large,Public,Engineering,
HS,Low,0-1 Year,"Tarrant County College Heating, Air Conditioning and Refrigeration  Certificate",3500,49000,Certificate,"Fort Worth, TX",Large,Public,Art,
HS,Low,0-1 Year,Tarrant County College Graphic Communication Certificate,2000,44000,Certificate,"Fort Worth, TX",Large,Public,Art,
HS,Low,0-1 Year,"Tarrant County College Radio, Television 
and Film Certificate",5000,43000,Certificate,"Fort Worth, TX",Large,Public,Art,
HS,Low,0-1 Year,Tarrant County College Accounting Certificate,2500,36000,Certificate,"Fort Worth, TX",Large,Public,Business ,
HS,Low,0-1 Year,Tarrant County College Business Administration,1500,43000,Certificate,"Fort Worth, TX",Large,Public,Business ,
HS,Low,0-1 Year,Texas A&M Rellis Water Managment Certificate,3000,47000,Certificate,"Bryan, TX",Large,Public,Trade ,
HS,Low,0-1 Year,Texa A&M Rellis Emergency Vehicle Operations Certificate,3000,32000,Certificate,"Bryan, TX",Large,Public,Trade ,
HS,Low,0-1 Year,"University of Texas at Arlington Phlebotomy Technician
",3000,43000,Trade School,"Arlington, TX",Large,Public,Health Science,https://www.esyoh.com/request-information/?z=76102&sc=uta&d=onlytradeschools.com&pc=GES1010&user_id=16676348439953&src=esyoh-search-page-zip-search&current_page_url=https%3A%2F%2Fwww.onlytradeschools.com%2F 